gender,face_id,stim_file
female,1260,stims\neutral_stims\anim-neutral_id-1260_gender-female.png
female,1264,stims\neutral_stims\anim-neutral_id-1264_gender-female.png
male,1266,stims\neutral_stims\anim-neutral_id-1266_gender-male.png
female,1269,stims\neutral_stims\anim-neutral_id-1269_gender-female.png
female,1270,stims\neutral_stims\anim-neutral_id-1270_gender-female.png
female,1273,stims\neutral_stims\anim-neutral_id-1273_gender-female.png
female,1274,stims\neutral_stims\anim-neutral_id-1274_gender-female.png
female,1279,stims\neutral_stims\anim-neutral_id-1279_gender-female.png
male,1280,stims\neutral_stims\anim-neutral_id-1280_gender-male.png
female,1285,stims\neutral_stims\anim-neutral_id-1285_gender-female.png
female,1289,stims\neutral_stims\anim-neutral_id-1289_gender-female.png
female,1290,stims\neutral_stims\anim-neutral_id-1290_gender-female.png
female,1291,stims\neutral_stims\anim-neutral_id-1291_gender-female.png
female,1293,stims\neutral_stims\anim-neutral_id-1293_gender-female.png
female,1294,stims\neutral_stims\anim-neutral_id-1294_gender-female.png
female,1295,stims\neutral_stims\anim-neutral_id-1295_gender-female.png
female,1296,stims\neutral_stims\anim-neutral_id-1296_gender-female.png
female,1297,stims\neutral_stims\anim-neutral_id-1297_gender-female.png
female,1302,stims\neutral_stims\anim-neutral_id-1302_gender-female.png
female,1306,stims\neutral_stims\anim-neutral_id-1306_gender-female.png
female,1307,stims\neutral_stims\anim-neutral_id-1307_gender-female.png
male,1309,stims\neutral_stims\anim-neutral_id-1309_gender-male.png
female,1310,stims\neutral_stims\anim-neutral_id-1310_gender-female.png
female,1311,stims\neutral_stims\anim-neutral_id-1311_gender-female.png
male,1315,stims\neutral_stims\anim-neutral_id-1315_gender-male.png
male,1318,stims\neutral_stims\anim-neutral_id-1318_gender-male.png
female,1323,stims\neutral_stims\anim-neutral_id-1323_gender-female.png
male,1335,stims\neutral_stims\anim-neutral_id-1335_gender-male.png
female,1339,stims\neutral_stims\anim-neutral_id-1339_gender-female.png
male,1341,stims\neutral_stims\anim-neutral_id-1341_gender-male.png
male,1342,stims\neutral_stims\anim-neutral_id-1342_gender-male.png
male,1344,stims\neutral_stims\anim-neutral_id-1344_gender-male.png
male,1345,stims\neutral_stims\anim-neutral_id-1345_gender-male.png
female,1347,stims\neutral_stims\anim-neutral_id-1347_gender-female.png
female,1354,stims\neutral_stims\anim-neutral_id-1354_gender-female.png
female,1355,stims\neutral_stims\anim-neutral_id-1355_gender-female.png
female,1356,stims\neutral_stims\anim-neutral_id-1356_gender-female.png
female,1358,stims\neutral_stims\anim-neutral_id-1358_gender-female.png
female,1360,stims\neutral_stims\anim-neutral_id-1360_gender-female.png
female,1361,stims\neutral_stims\anim-neutral_id-1361_gender-female.png
female,1362,stims\neutral_stims\anim-neutral_id-1362_gender-female.png
male,1363,stims\neutral_stims\anim-neutral_id-1363_gender-male.png
female,1366,stims\neutral_stims\anim-neutral_id-1366_gender-female.png
male,1367,stims\neutral_stims\anim-neutral_id-1367_gender-male.png
male,1370,stims\neutral_stims\anim-neutral_id-1370_gender-male.png
female,1373,stims\neutral_stims\anim-neutral_id-1373_gender-female.png
female,1376,stims\neutral_stims\anim-neutral_id-1376_gender-female.png
male,1377,stims\neutral_stims\anim-neutral_id-1377_gender-male.png
female,1378,stims\neutral_stims\anim-neutral_id-1378_gender-female.png
female,1380,stims\neutral_stims\anim-neutral_id-1380_gender-female.png
